Oh17_group_id,tgas_source_id,name,ra,dec,parallax,distance,G,J,rv,rv_err
2957,829460954835540992,TYC 3442-644-1,160.70540609057053,45.062655604221526,12.55866209597289,79.84297767867258,10.664946682969063,9.303999900817871,-53.38676019875674,19.331766941911916
2957,833609068609274368,HD 90383,156.759952226133,46.93664905790707,11.734233793390297,85.90647215538604,8.587468273822719,7.5370001792907715,-54.88086857199856,19.258021869535423
2963,1399452112001456640,HD 145872,242.73780182223655,49.06397880909926,12.940936233678816,77.36070152743906,7.961290487362287,7.173999786376953,-31.068345442301535,19.18306937007775
2963,1424810732788715520,HD 147094,244.31615654540192,52.37545590252045,13.639026952831976,73.39942197324046,8.851568430706362,7.889999866485596,-21.30014594547148,19.417597575291836
2966,1424832173265486976,TYC 3498-1941-1,245.66261807133554,51.44041268785844,6.24027018516406,161.24487973708392,10.799570108604987,9.807999610900879,-59.49809252591882,19.39423858930127
2966,1428968261130650496,TYC 3877-940-1,242.99766441666893,54.41041063699981,6.284724820611766,161.07450353531146,11.243152822626946,10.168000221252441,-32.37841367175884,19.146630329221452
3029,1119029917674114176,TYC 4378-1941-1,134.53413657331546,71.40930951627075,5.853048130861809,171.94101298108254,9.026914188206998,8.282999992370605,-19.427335154721646,19.184478814015506
3029,1122512002279839872,HD 73130,130.65165846628324,73.59796920333511,5.817918453009801,173.02922596782673,9.209885262816346,8.369000434875488,2.5360151969962175,19.31743986495234
3036,3423313991199138304,TYC 1325-567-1,91.47854453253525,21.121376679965902,7.178210801501178,139.90904306083667,10.22039913710283,9.27400016784668,-16.98361733842225,19.27121621405861
3036,3374808073666858240,TYC 1321-960-1,91.83837964724923,20.2062052513169,7.140592830380457,140.58690605196642,10.55006249880792,9.57699966430664,48.12184587530656,19.21805295210404
3074,1096173544833817216,TYC 4125-358-1,117.31770987333142,67.30940780636597,11.26461682661419,89.22539931127784,10.800751710372245,9.4350004196167,17.01760672134562,20.01928761078754
3074,1111037292774504064,HD 60469,115.24029789311646,72.37251392444007,10.778004471806982,92.96798213240874,8.415721864624896,7.4679999351501465,-61.57980531181826,19.68138583215492
3107,4380620145157582592,TYC 5064-301-1,256.4773457597595,-0.22039939083159724,6.91134839668465,145.63984204510194,9.520313568639128,8.531999588012695,-56.78681059526558,19.22026211578259
3107,4378540899950079616,HD 153347,254.77557671144592,-1.7653336749007167,6.902081129659022,145.5399513529057,9.431122656091869,8.321999549865723,-42.643411850987576,19.22489341438089
3118,1110885388370645376,TYC 4369-739-1,119.63326846911099,72.26913076933299,6.270940863634527,160.26473863354013,9.929982657240615,8.993000030517578,6.53608434496963,19.393298796054836
3118,1097661905620823296,TYC 4377-550-1,126.05654978778387,70.21409749391613,6.187358533283989,162.5559052762675,10.60204645461553,9.567000389099121,28.65252123493921,19.47647225899923
3144,1641479875682504576,TYC 4188-903-1,235.93646808466266,65.67906616593002,9.317897423459254,107.57353289839492,10.24322327370185,9.152000427246094,16.686880583292517,19.49570940583463
3144,1641485854276977024,TYC 4188-835-1,236.9506696263734,65.87939057830178,8.647057010179285,115.99139345409309,9.843221641701676,8.845000267028809,5.676316513847245,19.542116174004757
3166,4385041831169191296,HD 153502,254.94297527743913,2.3467837700108087,5.554808147258084,181.35568800772717,9.262901972248304,8.295999526977539,-82.72117443142655,19.167045112202754
3166,4381226697619473280,TYC 385-1437-1,254.18401545287435,0.21140697990425417,5.574690250144077,180.85387627904984,9.699165088623023,8.602999687194824,-13.35702340836983,19.829668151904837
3169,1628542781351798400,TYC 4192-1083-1,245.18944886380498,62.94591289912759,18.687487558120885,53.56559568938279,9.888965396507977,8.420000076293945,-40.36322136322014,20.252654171921677
3169,1642517093104650240,HD 146756,243.32451614189537,66.61422410790479,16.93866851236484,59.07696833479931,7.990646275452335,6.964000225067139,-55.739341697804136,19.387229600891338
3175,1099088281440467584,HD 54318,108.11656298560257,62.262321601131326,5.295508861297217,191.7188818878002,7.6129937106426695,7.491000175476074,27.83855117107362,19.992666168820698
3175,990715124006809600,TYC 3792-658-1,109.27356503790328,59.81460555359755,5.198632384602637,193.9305691974723,11.799513054820675,10.706999778747559,-2.2067501580965754,20.289542698143332
3183,1433266630041703936,HD 238686,261.05532687537493,58.698686785211315,6.95411474676294,144.66621321460892,8.88899763982456,8.194000244140625,-23.79302263088144,19.10633047353128
3183,1437549296550620544,TYC 4198-131-1,258.0065870890014,60.46045168480955,7.342318990413664,136.79959065925743,9.426635841450825,8.656000137329102,-18.76289237524979,19.26747303916098
3191,847053003440684672,HD 88629,153.59382426868726,49.76842204733778,7.016685784470307,143.42710529003932,8.84869704653942,8.178000450134277,-7.191167137104033,19.062794297939803
3191,823376120048330624,TYC 3436-561-1,149.1075209465012,48.19882748023922,7.159441657066418,140.2863232729756,10.654940343078987,9.654000282287598,6.4015557859414915,19.367226098631853
3204,1433841090507110528,TYC 3895-1415-1,258.0995640306121,57.70045623710807,6.690746283247633,150.1281400372652,10.65106425716092,9.654000282287598,-15.519262726506392,20.403078081135796
3204,1434121431612503040,TYC 3899-853-1,257.5319034702321,58.40762310553798,6.742928167025651,149.27475558378,10.408570368616004,9.223999977111816,-20.04486982358055,20.290912286061513
3273,1647549454745641344,HIP 75700,231.97527199689117,69.24379058794986,11.153049167454107,89.96767536213842,9.488508962289913,8.574000358581543,-3.227704946693374,19.663724270265963
3273,1646951182981928704,TYC 4412-971-1,239.8325594634713,69.23881328170268,10.798423677238517,92.84075302531592,10.96569833923347,9.625,-34.90182860142457,19.8797444359474
