hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP   3909,2005PASJ...57...13T,,,,,v  ,8.1,1.0,,,1334545,HIP3909
HIP   3909,2011AAS...21743412C,,,,A,V  ,8.22,2.0,,,1334545,HIP3909
HIP   4830,2004A&A...418..989N,2.0,,,A,v  ,-1.2999999523162842,1.0,,,3197355,HIP4830
HIP   4830,2006AstL...32..759G,,,,A,V  ,-1.3,2.0,,,3197355,HIP4830
HIP   4892,2004A&A...418..989N,2.0,,,A,v  ,18.100000381469727,1.0,,,1199107,HIP4892
HIP   4892,2006AstL...32..759G,,,,A,V  ,18.0,2.0,,,1199107,HIP4892
HIP   5054,1961RGOB...48..389E,5.0,,,,v  ,19.899999618530273,1.0,,,1180192,HIP5054
HIP   5054,1963MNRAS.126...29B,4.0,,,,v  ,28.0,1.0,,,1180192,HIP5054
HIP   5054,1963MNRAS.126..381K,2.0,,,,v  ,24.0,1.0,,,1180192,HIP5054
HIP   5054,1979IAUS...30...57E,11.0,,,C,v  ,22.399999618530273,1.0,,##,1180192,HIP5054
HIP   5054,2004A&A...418..989N,6.0,,,A,v  ,22.899999618530273,1.0,,,1180192,HIP5054
HIP   5054,2006AstL...32..759G,,,,A,V  ,22.9,2.0,,,1180192,HIP5054
HIP   5054,2007AJ....133.2524W,,,,B,v  ,21.87,2.0,,,1180192,HIP5054
HIP   5264,2004A&A...418..989N,4.0,,,A,v  ,32.5,1.0,,,3213724,HIP5264
HIP   5264,2006AstL...32..759G,,,,A,V  ,32.6,2.0,,,3213724,HIP5264
HIP   5301,2002AJ....124.1144L,11.0,,,A,v  ,34.560001373291016,2.0,,,1335458,HIP5301
HIP   5301,2002AJ....124.1144L,,,,A,V  ,34.76,2.0,,,1335458,HIP5301
HIP   5301,2004A&A...418..989N,6.0,,,A,v  ,34.099998474121094,1.0,,,1335458,HIP5301
HIP   5315,2014MNRAS.444.3517M,,,D,,V  ,-94.4,1.0,,,1392218,HIP5315
HIP   5315,2013A&A...552A..64S,,,,A,z  ,-94.511,3.0,,,1392218,HIP5315
HIP   5315,2007A&A...465..271R,,,,A,v  ,-94.7,1.0,,,1392218,HIP5315
HIP   5315,2005A&A...430..165F,7.0,,,A,v  ,-94.48999786376953,2.0,,,1392218,HIP5315
HIP   5315,2005A&A...430..165F,,,,A,V  ,-94.48,2.0,,,1392218,HIP5315
HIP   5315,2004A&A...418..989N,6.0,,,A,v  ,-94.69999694824219,1.0,,,1392218,HIP5315
HIP   5315,1960POHP....5...19C,1.0,,,,v  ,-95.0,1.0,,,1392218,HIP5315
HIP   5315,1953GCRV..C......0W,,,,B,v  ,-95.4000015258789,1.0,,,1392218,HIP5315
HIP   5315,1953GCRV..C......0W,3.0,,,B,v  ,-95.4000015258789,1.0,,##,1392218,HIP5315
